Title,ID,Website URL,Sectors,Simplified Sector Mapping,Endorsed,Provider type 1,Provider type 2,Lead provider,Growth hub / Catapult,DEAD,Regions,Type of programme,One to watch,Support available,Programme costs,Offerings,Other delivery partners,Public funded,Year programme started,Lead contact name,Lead contact email,Thumbnail image,Filter,Categories,Themes,Copy,Locations_map_point_address,Locations_map_point_street_name,Locations_map_point_street_short_name,Locations_map_point_city,Locations_map_point_state,Locations_map_point_state_short,Locations_map_point_post_code,Locations_map_point_country,Co-ordinates
FCA Regulatory Sandbox,15416,https://www.fca.org.uk/firms/regulatory-sandbox,Finance,Fintech,1,Provider type>Public/hybrid mix,,Financial Conduct Authority,,,UK,ScaleUp Institute Endorsed/One to Watch,,Access to corporate collaboration|Office space/hubs that focus on scaleups|Support for R&D and/or innovation,Free,Service,,,2016,,sandbox@fca.org.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/FCA-web-2.png,Support Offer,,Infrastructure,"The Financial Conduct Authority’s Regulatory Sandbox, launched in 2016, provides a testing environment for innovative products and services in the real market with real customers. Its successful model has now been replicated across the globe, including Africa, East Asia and the Pacific regions.

Since its launch in 2016, the Regulatory Sandbox has operated on a cohort basis, but in August 2021, it moved to an always open model, allowing firms to submit their applications throughout the year, an approach also encouraged by the Kalifa Review of UK Fintech. Firms can now access testing services at any point throughout the year, at the point and time that is right in their development lifecycle. 

Under this new model, 22 firms have been accepted onto the programme, with their propositions operating across the retail lending, retail investments, retail banking, payments and wholesale sectors. The main types of innovation have continued to be dominated by data and technology infrastructure, with firms using AI/machine learning and predictive analytics, distributed ledger technology (DLT) / blockchain technology, open banking, APIs and digital ID. 

This year, following the successes of two Digital Sandbox pilots, the FCA launched the permanent FCA Digital Sandbox. The evaluation reports from the pilots have concluded that the Digital Sandbox initiative addresses the needs of early-stage and scaling firms, especially in the networking and collaboration. Almost 6 in 10 of the scaling participants have reported positive progress which has included securing  funding and partnership, launching products or receiving industry rewards and recognitions. Innovators across all financial service sectors can join the programme and to date, 58 participants are included across 9 themes: Consumer Investments Advice & Distribution; Cross-sectors & Other; Fund & Investment Management; Infrastructure & Exchange; Insurance; Payments; Retail Banking; Retail Lending; and Wholesale Banks & Intermediaries.

In 2022, FCA also launched the ‘Innovation Pathways’ programme, a bespoke support service for firms that are not yet ready to test but need help understanding the FCA regulatory regime prior to doing so. The programme helps businesses understand the process; regulation rules, the implications for their business model, and what they need to do to launch a regulated business. To achieve this, dedicated case managers, customised signposting, discussions and feedback with FCA subject matter experts, informal steers, pre-authorisation meetings, an assigned Authorisations case handler and dedicated supervisory support are available to support them. 

FCA also serves as chair for the Global Financial Innovation Network (GFIN), launched in 2019, bringing together over 70 international organisations committed to supporting financial innovation in the interests of consumers. Members include the Australian Securities and Investments Commission, the USA’s Consumer Financial Protection Bureau and Hong Kong Securities and Futures Commission. Building on the model developed by the FCA Sandbox, it has developed a cross-border testing environment for scaleups.",,,,,England,England,E20 1JN,United Kingdom,"51.54201,-0.00933"
Future Fifty,2495,https://technation.io/programmes/future-fifty/,Technology & Communications,Technology,,Provider type>Private sector,,Tech Nation,,,UK,Scaling firm focus,,Access to peer networks|Leadership development/capacity building|Skills training,Free,Service,,,,Johnny Mayo,johnnymayo@technation.io,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/12/Tech-Nation-web-logo.png,Support Offer,,Leadership,"Future Fifty aim to deliver a programme that enables you to develop your leadership skills, learn from others in the Future Fifty community, and apply those learnings in your workplace straight away. Companies selected to join the Future Fifty programme will receive; recognition as one of the UK’s most successful digital businesses, peer-to-peer networks, masterclass workshops led by global experts, access to government through sessions with key officials and exclusive ministerial roundtables and access to a dedicated Tech Nation Visa team.",|,Finsbury Avenue|Hardman Street,|,|,England|England,England|England,EC2M 2PA,United Kingdom|United Kingdom,"51.51964,-0.08408"
Gather,12428,https://gatherlcr.com/programmes,Technology & Communications,Technology,,Provider type>Public/hybrid mix,,Form,,,North West,Scaling firm focus,,Leadership development/capacity building,Delivered for a fee,,,,2020,,hello@gatherlcr.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/10/gather-logo.png,Ecosystem,,Leadership,"Gather is part of the Liverpool City Region Metro Mayor’s Business Growth Package. Launched in 2020, it delivers 1-2-1 support with dedicated growth consultants, a suite of events, activities and support programmes to digital, creative and tech-enabled businesses along with dedicated programmes for scaling businesses. It includres 3 programmes; Junction, Consult, Emerging Leaders.",,,,,England,England,L1 0AX,United Kingdom,"53.39599,-2.98213"
Global Business Innovation Programme,2560,https://www.innovateukedge.ukri.org/gbip,Technology & Communications,Technology,,Provider type>Innovate UK,,Innovate UK,,,UK,Scaling firm focus,,Support for R&D and/or innovation|Support to enter international markets,Free,Programme,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/11/UKRI_IUK_EDGE_HORIZONTAL_LOGO_RGB-scaled-1.jpeg,Ecosystem,,Access to markets,"The Global Business Innovation Programme helps ambitious businesses build collaborations and partnerships in new markets, accelerating business growth.

Typically, up to 15 high-growth innovative businesses are supported to explore and exploit the opportunities that exist in specific markets and technology and innovation areas. The Global Business Innovation Programme (GBIP) provides the sort of detailed market knowledge, introductions and cultural insight that small companies would find difficult to generate themselves. The Programme is designed to help companies find partners, build collaborations and explore R&D and innovation opportunities.",||,||,||,||Stoke Gifford,England|England|England,England|England|England,SN2 1FL,United Kingdom|United Kingdom|United Kingdom,"51.56673,-1.78476"
Grow London Global,15436,https://www.grow.london/global,Environmental Science & Technology|Finance|Life Sciences & Biotech|Creative,Creative Industries,1,Provider type>Public/hybrid mix,,Grow London,,,London,ScaleUp Institute Endorsed/One to Watch,,Support to enter international markets,Free,Programme,London & Partners,Public/ Hybrid,2016,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/03/Grow-London-Global-Logo.png,Support Offer,,Access to markets,"In 2023, the Mayor of London’s International Business Programme (MBIP) rebranded as Grow London Global. Grow London Global is a free 12-month programme open to London-based scaleups with an annual turnover greater than £1m and less than £40m, or those that have secured £1m of external equity investment, and that employ between 10 and 250 people.

Over the past seven years the programme has helped more than 1,400 ambitious London scaleups to expand their businesses internationally. Participants span sectors including fintech, cyber and enterprise tech, life sciences and sustainability with alumni scaleup businesses including household names such as Bloom & Wild, Monzo and Revolut.

To meet the needs of the current economic and geopolitical environment, Grow London Global is an evolution of the MIBP programme with increased capacity to support more companies go global each year.  They also benefit from additional dedicated account managers with specialist sectoral expertise, and an even greater breadth of partners and connections whose knowledge and skills they can leverage. Grow London Global also offers a greater number of events and trade missions and carefully tailored programme content designed to meet the specific needs of each participating scaleup.

Trade missions introduce scaleups to global corporates and investors. They have helped more 1,000 London companies win trade deals worth more than £300m and raise more than £6.5bn of investment. Missions in the past year have included a <strong>Sustainability for Cities</strong> mission encompassing Rotterdam, Cologne and Berlin with participants meeting representatives from key companies including Bosch, Eurostar and Arcadis along with global real estate specialists Urban Land Institute and CBRE. A <strong>RetailTech</strong> mission in Paris involved BNP Paribas, Leroy Merlin and leading French luxury groups LVMH and Kering.

Two US trade missions took place in the latter part of 2022. A <strong>FinTech</strong> mission to New York included JP Morgan, Morgan Stanley and BMO while a <strong>US Life Sciences</strong> targeted the New York, New Jersey and Philadelphia markets with participating scaleups meeting with IBM, AT&T, Audible and Rutgers University.

During Birmingham Tech Week 2023, a new collaboration between the investment promotion agencies of the West Midlands and London was announced, with the aim of helping the region’s high-growth tech companies to achieve their global ambitions. The new partnership agreement, in collaboration with the West Midlands Growth Company (WMGC), will see the programme extended beyond London for the first time, with 10 high-growth tech companies from the West Midlands offered exclusive spaces.
<blockquote>“The programme was integral in introducing us to advisors and stakeholders that helped GripAble build our American market entry strategy, and back it up with investors, ultimately leading to our US launch and in closing of an investment round”</blockquote>
GripAble
<blockquote>“Fiskl would not have made as much progress had it not been part of the programme. Remarkable to see so many potential banking partners within a four-day online trade mission. Outside of the programme it can take up to 6 months to secure meetings with large banks and then another 18 months to develop the contract. Being part of the programme dramatically reduced this timeline”</blockquote>
Fiskl
<blockquote>“The programme was a worthwhile experience and has produced incredible results for Enferm. We will continue to remain involved as an alumni as we progress our US expansion”</blockquote>
Enferm",,Union Street,,,England,England,SE1 0LL,United Kingdom,"51.50362,-0.09859"
Growing Global Champions,11335,http://www.scaleupgroup.co,Technology & Communications,Technology,,Provider type>Private sector,,Scale Up Group,,,International|UK,Scaling firm focus,,Access to peer networks|Access to talent and skills|Financial support/access|Leadership development/capacity building,Delivered for a fee,Service,,,,Barbara Ravens,barbara@scaleupgroup.co,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2020/09/scaleupgroup-2.png,Support Offer,,Finance,"ScaleUp Group’s “Growing Global Champions” programme provides ScaleUp CEOs with access to this “money couldn’t buy” ScaleUp experience to develop sustainable UK/Global growth plans (Go-to-market, financial, technology, people), get fully investor ready and raise growth (Series A) funding. To date, ScaleUp Group’s Global Champions have successfully raised over £30m in growth funding.",,,,,England,England,EC2V 7AF,United Kingdom,"51.51661,-0.09408"
High Growth Programme (by the Berkshire Growth Hub),,https://berkshiregrowthhub.co.uk/high-growth-programme/,Sector agnostic,Professional Services,,Provider type>Public/hybrid mix,,Berkshire Growth Hub,,,SOUTH EAST,Scaling firm focus,,Leadership development/capacity building Skills training,Free,Programme,,1,2017,,online form,,Programme,,Leadership,"The Berkshire Growth Hub's High Growth Programme is a fully funded initiative designed to support small business owners in Berkshire aiming to scale their operations, increase turnover, and introduce new products or services. This structured programme provides up to 12 hours of intensive support, including one-on-one sessions with dedicated business advisers and access to masterclasses covering key areas such as sales and marketing, digital marketing, leadership and people management, and funding for growth. The programme is tailored to address individual business challenges, offering solutions-led support over a 4-6 week online commitment, culminating in a clear action plan for the next steps. Eligibility criteria include being an established business based in Berkshire, trading for over a year, and demonstrating a growth rate of at least 10% to 20% or possessing the ambition and capability to achieve this level of growth within the next three years.",RG1 1NH,Berkshire,,,,,SL6 1HN,,"51.520448, -0.722650"
Innovation Accelerator Programme,,https://www.ukri.org/what-we-do/browse-our-areas-of-investment-and-support/innovation-accelerator-programme/,"HEALTHCARE, LIFE SCIENCES & BIOTECH",Life Sciences,,Provider type>Public/hybrid mix,,WMCA,,,UK,Scaling firm focus,,"Skills training, Support for R&D and/or innovation",Free,Programme,DSIT,,,,,,Ecosystem,"REVENUE GROWTH FOR BUSINESSES, REGIONAL GROWTH",Infrastructure,,,,,,,,SN2 1FL,,"51.567087, -1.785081"
Lazaridis ScaleUp Program,15438,https://lazaridisinstitute.wlu.ca/programs/index.html,Technology & Communications,Technology,1,[Unclear online],,Lazaridis Institute,,1,International,ScaleUp Institute Endorsed/One to Watch,,Access to corporate collaboration|Access to peer networks|Leadership development/capacity building|Skills training|Support for R&D and/or innovation|Support to access public/private sector procurement,Free,Service,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2021/10/Lazaridis.png,,,Leadership,"Canada’s Lazaridis ScaleUp Programme is a 12-month programme of education, peer networking and mentorship. Based at Wilfrid Laurier University, it brings together the most promising scaleup tech companies from across Canada and connects them with a network of senior talent from successful firms.

Customised engagement is designed to help them to scale and compete globally while remaining domiciled in Canada. Cohorts of the most promising companies are selected from a diverse range of sectors including AI, medtech, fintech, agritech, tech-enabled retailers and oil and gas. Support is extended to the wider executive teams of scaleups rather than focusing solely on founders; this includes access to function-oriented peer groups.

Lazaridis runs all-cohort events to further expand trusted peer networks with speakers drawn from globally successful companies. The ScaleUp programme has been delivered on a hybrid model since the pandemic, allowing to complement and enrich in-person events with the best of virtual learning practices. In 2023, the current cohort participants were brought to Palo Alto and New York, in both cities, scaleups took advantage of the visit to book time with customers, partners, and potential investors.

Since its launch in 2016, Lazaridis has supported 829 executives and 83 scaling companies that have raised more than CA$2.2bn in new funding and created 4,285 jobs. Now on its eighth cohort, the programme has a strong impact on scaleups. Scaleups show an average annualised growth rate of 53% in employment and 114% in revenues, while all participating scaleups reported increased confidence or leadership capacity. Additionally, 89 per cent of the participating scaleups have now  identified new markets, , 67 per cent have now started exporting, and 78 per cent have accessed new markets including Europe, Asia, Middle East, UAE and USA.

In October 2022, Lazaridis also hosted its first in-person all-cohort event since 2019. Supported by serial entrepreneur Marnie Walker, the event gave more than 50 scaleups the opportunity to share experiences and learn from Lazaridis mentors and industry luminaries.

The programme’s commitment to diversity is a key priority with 46 percent of founders being from an under-represented group. Cleantech and greentech companies and social enterprises represent 20 percent of Lazaridis scaleups.
<blockquote>“One of the most valuable aspects of Lazaridis ScaleUp is the network that you create with your peers. Everyone is an absolute rock star!”</blockquote>
Marnee Brick, President and Co-Founder, TinyEYE Therapy Services
<blockquote>“I find the opportunity to interact with our cohort colleagues to be the most valuable part of the Lazaridis program. I had good conversations with several peers and gained insights and ideas about what we can implement in our company.”</blockquote>
Jesse Smith, VP of Product, Agency Analytics",,,,,,,N2L 3C5,,"43.472283, -80.526840"
Lloyds Bank Social Entrepreneurs Scale Up Programme,2576,https://www.the-sse.org/courses/lloyds-bank-scale-up-programme-2018/,Impact Ventures / Social Impact,Professional Services,,Provider type>Private sector,,LLoyds Bank,,,UK,Scaling firm focus,,Financial support/access|Leadership development/capacity building|Skills training,Free,Programme,,,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/lloysbank.png,Financier,,Leadership,"Lloyds Bank Social Entrepreneurs Scale Up Programme is for established social enterprises, with plans to significantly scale up their social impact. The programme helps social entrepreneurs to increase their resilience, develop different income streams and different remote and flexible working patterns. Scaling social businesses are further are supported with:
<ul>
 	<li>Up to £7,000 Trade Back grant</li>
 	<li>Free learning programme (14 days spread over a year) focused on recovery, rebuilding, resilience and managing change</li>
 	<li>A support network</li>
 	<li>A mentor</li>
</ul>",,,,,England,England,EC2N 3AH,United Kingdom,"51.51533,-0.08281"
Match-Maker Ventures,15443,https://www.match-maker.ventures/,Finance,Fintech,,Provider type>Private sector,,Match-Maker Ventures,,,International,ScaleUp Institute Endorsed/One to Watch,1,Support to enter international markets,Delivered for a fee,Product,,,2015,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/MMV-2.png,Support Offer,,Access to markets,"Match-Maker Ventures (MMV) aims to build a world where business collaboration has no borders.  To achieve this, MMV matches growing businesses with established telecom corporations, accelerating the process of collaboration.

MMV’s approach is powered by robust networks and deep telecom industry knowledge. It leverages its network members who have executive experience in the telecom industry – called “Match-Makers” – to match scaling businesses with large corporates, managing the collaboration process from end to end. In the last year, MMV shifted its portfolio focus further on to scaleups to promote significant collaborations with corporate customers and continue to grow. Its ‘Lead Identification and Account Management’ function uses sophisticated analytical tools to identify business opportunities for its scaleup portfolio. To date these tools have mapped over 150,000 connections and MMV further increases scaleups’ visibility using its marketing channels. 

To manage the fact that selling to large corporates is not a direct process, participating companies are offered a phased programme. Scaling businesses are initially offered a market strategy and sales preparation that examines their business model, agrees on a sales approach and identifies the profile of the right target customer. They are also assigned a solution manager to support the joint activities. In the second phase, the network of Match-Makers then approaches priority companies, future partners, customers and resellers, to open doors and offer hands-on support to the company’s sales activities, from first discussions all the way to contract signature and scaling of the joint activities. 

MMV’s global network has a global footprint and is continuing to broaden its network especially in the telecom industry. It is also continuing to develop its presence in key strategic growth areas in Latin America and the Middle East. 

In 2022 MMV hosted 15+ deep dive sessions to support its portfolio of scaleups alongside their Deep Dive Festival aiming to facilitate business opportunities by giving scaleups the platform to share their value propositions and key business insights with industry experts to augment and accelerate business impact.",|,|,|,Vienna|,Vienna|,Vienna|,,Austria|Austria,AT|AT
Multiverse,15151,https://www.multiverse.io/en-GB/programmes,Technology & Communications,Technology,,Provider type>Private sector,,Multiverse,,,International|UK,Scaling firm focus,,Access to talent and skills|Skills training,Delivered for a fee,Service,,,2016,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2023/02/multiverse-logo.png,Support offer,"ATTRACTION OF TALENT/SKILLS
",Talent and Skills,"Multiverse provides apprenticeship programmes that combine work, training and community. Since starting in 2016, they have trained over 5,000 apprentices in partnership with more than 200 employers worldwide. Focusing on the skills of the future, the programmes range from software engineering to data analytics to business analysis.",,Eastbourne Terrace,,,England,England,W2 6LG,United Kingdom,"51.51675,-0.17920"
